Name,Team,POS,ADP,IP,mSV,mERA,mWHIP,mSO,mIP,mQS,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Tarik Skubal ","DET","SP",13.920000076293945,183.92,-1.331918420067325,8.391753849430309,9.055521303675958,4.670590831397802,2.9965660064487074,3.3331031587918942,27.11561672967735,8.771146280653406,36.88676301033075,"Tarik Skubal","22267",669373
"Paul Skenes ","PIT","SP",11.3100004196167,173.366,-1.331918420067325,8.736101043344886,6.238481227904204,4.809786738942168,2.323735406255364,3.0687404531205487,23.844926449499845,8.771146280653406,33.616072730153256,"Paul Skenes","33677",694973
"Logan Gilbert ","SEA","SP",25.979999542236328,194.103,-1.331918420067325,3.107272890925444,7.905303470003409,3.778606911062014,3.645821079562868,3.5868925697283496,20.691978501214763,8.771146280653406,30.463124781868167,"Logan Gilbert","22250",669302
"Zack Wheeler ","PHI","SP",21.020000457763672,192.092,-1.331918420067325,4.276925302049294,5.559327769627836,4.152014003362928,3.5176353528518183,4.487260836345294,20.66124484416985,8.771146280653406,30.432391124823255,"Zack Wheeler","10310",554430
"George Kirby ","SEA","SP",45.599998474121094,180.713,-1.331918420067325,1.7553815151483554,5.435407201547362,1.7592949182186233,2.792162081335714,3.033771991248509,13.444099287431237,8.771146280653406,23.215245568084647,"George Kirby","25436",669923
"Chris Sale ","ATL","SP",37.22999954223633,154.434,-1.331918420067325,4.686953386254325,4.0604356155627075,2.778219118378987,1.1166915731207054,1.771064970857796,13.081446244107195,8.771146280653406,22.852592524760603,"Chris Sale","10603",519242
"Garrett Crochet ","BOS","SP",24.8799991607666,152.771,-1.331918420067325,4.039514223158478,4.2001463319664305,3.72811082870215,1.0106980112908277,1.3520456983803275,12.99859667343089,8.771146280653406,22.769742954084297,"Garrett Crochet","27463",676979
"Framber Valdez ","HOU","SP",61.290000915527344,185.534,-1.331918420067325,3.639414996051238,-0.254798616535422,2.5736149929990955,3.099465000661234,3.4267285398039684,11.152506492912789,8.771146280653406,20.923652773566197,"Framber Valdez","17295",664285
"Dylan Cease ","SDP","SP",47.060001373291016,182.059,-1.331918420067325,1.6958435128888258,0.30199725936870947,4.734869141136012,2.877969450754391,2.5773672196265838,10.856128163707197,8.771146280653406,20.627274444360605,"Dylan Cease","18525",656302
"Logan Webb ","SFG","SP",100.1500015258789,196.302,-1.331918420067325,2.8682624419299048,-0.1880860850036181,1.646395888025749,3.785986217037846,3.7718615689940944,10.552501610916652,8.771146280653406,20.323647891570058,"Logan Webb","17995",657277
"Corbin Burnes ","ARI","SP",37.97999954223633,187.222,-1.331918420067325,1.306046659434521,0.48865145189654996,2.7571149233664176,3.2071084797118052,3.5329100813133034,9.959913175655272,8.771146280653406,19.731059456308678,"Corbin Burnes","19361",669203
"Cole Ragans ","KCR","SP",49.02000045776367,178.457,-1.331918420067325,2.1303909594402826,-0.9763750055076513,4.117341733228724,2.6482826844570746,2.8195115837042697,9.407233535255374,8.771146280653406,19.17837981590878,"Cole Ragans","21846",666142
"Blake Snell ","LAD","SP",44.91999816894531,156.507,-1.331918420067325,2.957205018898405,0.11487887731413027,3.9780693427355334,1.2489018915428456,2.063079378658016,9.030216089081605,8.771146280653406,18.80136236973501,"Blake Snell","13543",605483
"Pablo López ","MIN","SP",67.04000091552734,185.867,-1.331918420067325,-0.8889991819597385,0.9419872905251362,3.5281119966142023,3.1207329784199653,3.1500911639843716,8.520005827516613,8.771146280653406,18.29115210817002,"Pablo Lopez","17085",641154
"Luis Castillo ","SEA","SP",95.4000015258789,181.783,-1.331918420067325,0.1731222530756286,1.2838908569991339,2.6456262387498843,2.860348607229375,2.685197419275437,8.316266955262133,8.771146280653406,18.08741323591554,"Luis Castillo","15689",622491
"Shota Imanaga ","CHC","SP",76.5999984741211,171.152,-1.331918420067325,0.37511889440036145,2.8603665954630957,1.8388076115902123,2.182536152031802,1.9489827860806768,7.873893619498824,8.771146280653406,17.64503990015223,"Shota Imanaga","33829",684007
"Yoshinobu Yamamoto ","LAD","SP",58.150001525878906,153.241,-1.331918420067325,2.1159986638493864,2.822618796183133,1.2680877683640999,1.040630972943851,1.2145908774956706,7.1300086587688165,8.771146280653406,16.901154939422227,"Yoshinobu Yamamoto","33825",808967
"Joe Ryan ","MIN","SP",92.91999816894531,160.939,-1.331918420067325,-1.486614104193225,4.216908475579642,2.232679501451515,1.5314589710436088,1.5660872795048417,6.7286017033190575,8.771146280653406,16.499747983972465,"Joe Ryan","21390",657746
"Tyler Glasnow ","LAD","SP",97.9000015258789,132.904,-1.331918420067325,1.8746552527415663,3.774721892376562,1.4203806160653358,-0.25591405961359687,1.071007922193172,6.552933203695713,8.771146280653406,16.32407948434912,"Tyler Glasnow","14374",607192
"Sonny Gray ","STL","SP",110.5999984741211,164.513,-1.331918420067325,1.1820052162161692,0.8430776602431388,2.1925208544548984,1.7592915261247444,1.8369829484705198,6.481959785442146,8.771146280653406,16.253106066095555,"Sonny Gray","12768",543243
"Gerrit Cole ","NYY","SP",59.75,173.544,-1.331918420067325,-0.9738972664792255,1.4098457186588933,2.443688818852374,2.335091233918783,2.441958923099127,6.324769007982627,8.771146280653406,16.095915288636036,"Gerrit Cole","13125",543037
"Max Fried ","NYY","SP",98.9000015258789,167.005,-1.331918420067325,2.49217977118682,-0.12323873205185991,0.9825493865371179,1.9181806947003675,2.2520902013626336,6.189842901667753,8.771146280653406,15.960989182321162,"Max Fried","13743",608331
"Jacob deGrom ","TEX","SP",44.83000183105469,110.458,-1.331918420067325,3.9354570785840735,5.447248602059871,-0.32777790796616324,-1.687002253455935,0.0690325809046874,6.1050396800592095,8.771146280653406,15.876185960712615,"Jacob deGrom","10954",594798
"Justin Steele ","CHC","SP",120.83000183105469,168.145,-1.331918420067325,1.954835585511576,-0.09949510296783502,1.333708098911034,1.9908568243519897,2.1813898718133764,6.029376857552815,8.771146280653406,15.800523138206222,"Justin Steele","17312",657006
"Tanner Bibee ","CLE","SP",88.05999755859375,170.278,-1.331918420067325,-0.07549987785769748,1.3041963165917203,2.4491517409438135,2.126858255633236,1.3639150423193154,5.836703057563063,8.771146280653406,15.60784933821647,"Tanner Bibee","30134",676440
"Bryce Miller ","SEA","SP",79.0199966430664,170.393,-1.331918420067325,-0.861359336154622,2.869289693723859,1.2718527689916141,2.1342011655281636,1.636255960320722,5.718321832342413,8.771146280653406,15.489468112995818,"Bryce Miller","29837",682243
"Aaron Nola ","PHI","SP",86.30999755859375,187.488,-1.331918420067325,-2.423850920930971,0.450348687681885,2.8214493206004327,3.2240843379082134,2.8519526004284868,5.592065605620723,8.771146280653406,15.36321188627413,"Aaron Nola","16149",605400
"Michael King ","SDP","SP",62.77000045776367,169.759,-1.3082907055766366,1.3216073231808598,-1.3224664629843799,2.8937032722421616,2.0937480359361174,1.5318051368583026,5.210106599656425,8.771146280653406,14.981252880309833,"Michael King","19853",650633
"Bailey Ober ","MIN","SP",81.3499984741211,171.087,-1.331918420067325,-2.801304231925007,3.0615363362894263,2.221157090267798,2.178434706865266,1.8396267694870143,5.167532250917174,8.771146280653406,14.93867853157058,"Bailey Ober","21224",641927
"Spencer Schwellenbach ","ATL","SP",83.54000091552734,164.435,-1.331918420067325,-0.2318926283253372,1.717799196480046,1.155410028836494,1.7543301005200636,1.6424696359753654,4.706197913419306,8.771146280653406,14.477344194072714,"Spencer Schwellenbach","31846",680885
"Freddy Peralta ","MIL","SP",98.0999984741211,167.545,-1.331918420067325,-1.2230228142797737,-0.3697267114301511,3.2440635026303397,1.9526334177964002,1.5299446149578684,3.801973589607359,8.771146280653406,13.573119870260765,"Freddy Peralta","18679",642547
"Emmanuel Clase ","CLE","RP",34.650001525878906,66.8692,8.514499160497127,4.21259190607463,2.9888276791998485,-5.289258921111614,-4.4660120148207385,-4.859449152057196,1.1011986577820576,10.863126051721137,12.964324709503197,"Emmanuel Clase","21032",661403
"Roki Sasaki ","LAD","SP",97.5,131.214,-1.331918420067325,1.564151453845153,1.6724040126570108,0.6817195138083006,-0.36366357697611157,0.6637475857792846,2.886440569046313,8.771146280653406,12.657586849699719,"Roki Sasaki","sa3025686",808963
"Reynaldo López ","ATL","SP",165.75,156.127,-1.3269087575391476,0.9507290120977656,-1.0330938698753684,1.537814575237234,1.2246541399356563,1.1176781268600018,2.4708732267161415,8.771146280653406,12.24201950736955,"Reynaldo Lopez","16400",625643
"Zach Eflin ","BAL","SP",189.9199981689453,171.093,-1.331918420067325,-1.7947816940312213,1.0242374586845013,0.09339635508052299,2.1787781153433943,2.0051490626980235,2.174860877707895,8.771146280653406,11.9460071583613,"Zach Eflin","13774",621107
"Zac Gallen ","ARI","SP",121.44000244140625,171.396,-1.331918420067325,-1.111542115495095,-1.676833252194992,1.91523753223781,2.198137403487148,2.0917729929444446,2.08485414091199,8.771146280653406,11.856000421565398,"Zac Gallen","19291",668678
"Bryan Woo ","SEA","SP",134.7899932861328,137.326,-1.331918420067325,-0.018357788350618034,3.904257157523765,-0.8421981426755362,0.025979550816109045,0.34589773513390654,2.0836600923803013,8.771146280653406,11.854806373033709,"Bryan Woo","30279",693433
"Mason Miller ","OAK","RP",44.540000915527344,66.1346,6.071117373942618,3.3339478929598862,2.8252603915173435,-3.21818428827581,-4.51284933177175,-4.85943072360176,-0.3601386852294714,10.863126051721137,11.502987366491666,"Mason Miller","31757",695243
"Cristopher Sánchez ","PHI","SP",172.89999389648438,169.128,-1.331918420067325,0.6262493239795305,-2.107988429487977,0.1880771468631751,2.0535176840820064,2.180488704830327,1.6084260101997372,8.771146280653406,11.379572290853144,"Cristopher Sanchez","20778",650911
"Kevin Gausman ","TOR","SP",171.0800018310547,180.454,-1.331918420067325,-2.2407653356105266,-2.963680493422631,2.4912887468833813,2.775636642757927,2.833063404411279,1.5636245449521042,8.771146280653406,11.334770825605512,"Kevin Gausman","14107",592332
